"k_4","Subtitles","k_5","k_6","Film","Rank","Title","n_days","ID","Critic.Rating","Critic.Votes","User.Votes","Budget","Star.Power","User.Rating","Runtime","Netflix.Original.dummy.","Adventure"," Drama"," Family"," History"," Romance","Drama"," Fantasy"," Sci-Fi","Documentary","Action"," Adventure"," Thriller"," Crime"," Mystery","Animation"," Comedy"," Musical","Crime"," Horror","Thriller"," Western","Comedy"," War"," Sport"," Music"," Reality-TV","Fantasy","Horror"," Biography"," Action","Biography","Romance","Mystery","Family"
"3","Subtitles/subtitles_tt1679335.txt","3","5","Films (English)",8,"Trolls",7,1679335,55,186,236,1.25e+08,21,6.4,92,"1",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11316680.txt","5","3","Films (English)",7,"Trees of Peace",7,11316680,52,17,49,0,7,6.4,97,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt19034522.txt","2","4","Films (English)",3,"White Hot: The Rise & Fall of Abercrombie & Fitch",7,19034522,48,25,100,0,22,5.7,88,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt6714432.txt","3","2","Films (English)",6,"The Loud House Movie",21,6714432,52,11,59,0,22,6.1,83,"1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11116374.txt","2","4","Films (Non-English)",2,"Don't Kill Me",7,11116374,52,24,40,0,7,4.3,90,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt5562070.txt","2","1","Films (English)",9,"Wish Dragon",35,5562070,59,52,183,0,19,7.2,98,"1",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11514780.txt","1","6","Films (English)",1,"Choose or Die",14,11514780,43,108,284,0,7,4.8,84,"1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt0113277.txt","2","4","Films (English)",7,"Heat",7,113277,76,216,1200,6e+07,42,8.3,170,"1",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11698662.txt","1","6","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11698662.txt","1","3","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11698662.txt","5","6","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt11698662.txt","5","3","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11698662.txt","1","6","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11698662.txt","1","3","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11698662.txt","5","6","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11698662.txt","5","3","Films (Non-English)",3,"Sounds Like Love",14,11698662,52,21,10,0,7,5.4,110,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt10127684.txt","2","4","Films (Non-English)",9,"Rogue City",14,10127684,52,27,87,0,14,6.1,116,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt0328107.txt","1","6","Films (English)",9,"Man on Fire",21,328107,47,158,873,7e+07,24,7.7,146,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt13161356.txt","3","2","Films (Non-English)",4,"Love Me Instead",14,13161356,52,9,20,0,8,7,124,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt0425123.txt","3","2","Films (English)",8,"Just Like Heaven",7,425123,47,120,337,5.8e+07,20,6.7,95,"1",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt2101341.txt","4","1","Films (English)",9,"Dead Man Down",14,2101341,39,220,166,3e+07,27,6.4,118,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt13057626.txt","5","3","Films (Non-English)",8,"Child of Kamiari Month",7,13057626,52,11,11,4645782.32651487,10,5.8,99,"1",0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt1489889.txt","3","2","Films (English)",9,"Central Intelligence",14,1489889,52,242,285,5e+07,29,6.3,107,"1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt8150814.txt","2","4","Films (English)",5,"There's Someone Inside Your House",14,8150814,45,85,258,0,15,4.8,96,"1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1","Subtitles/subtitles_tt0298148.txt","3","2","Films (English)",9,"Shrek 2",21,298148,75,192,626,1.5e+08,33,7.3,93,"1",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt14592064.txt","5","3","Films (English)",5,"Home Team",21,14592064,23,40,151,0,13,6,95,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt0397535.txt","4","1","Films (English)",5,"Memoirs of a Geisha",7,397535,54,214,642,8.5e+07,37,7.3,145,"1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt12735338.txt","2","4","Films (Non-English)",10,"Words Bubble Up Like Soda Pop",7,12735338,52,12,42,0,8,6.8,87,"1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt19637852.txt","4","5","Films (English)",9,"Halftime",14,19637852,63,20,100,0,24,6.6,95,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"4","Subtitles/subtitles_tt16085592.txt","2","1","Films (English)",7,"Tall Girl 2",21,16085592,35,18,66,24400000,9,4.7,97,"1",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt2386490.txt","5","3","Films (English)",8,"How to Train Your Dragon: The Hidden World",7,2386490,71,223,713,1.29e+08,17,7.4,104,"1",0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1","Subtitles/subtitles_tt11692986.txt","3","2","Films (Non-English)",9,"Fierce",14,11692986,52,8,11,0,3,5.5,118,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt0373074.txt","3","2","Films (Non-English)",8,"Kung Fu Hustle",14,373074,78,372,468,2e+07,14,7.7,99,"1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt14766956.txt","5","3","Films (Non-English)",8,"Godspeed",7,14766956,52,9,45,0,6,6.5,119,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt9742794.txt","3","2","Films (English)",5,"The Vault",21,9742794,50,74,279,0,14,6.4,118,"1",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt18563148.txt","5","3","Films (English)",3,"Silverton Siege",14,18563148,52,29,47,0,7,6.3,100,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt13314558.txt","3","2","Films (English)",6,"Day Shift",28,13314558,51,127,595,1e+08,13,6.1,113,"1",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
